country_name,date,action_form
austria,2009-07-01,"confrontations, blockades"
austria,2009-07-04,demonstrations
austria,2009-07-05,demonstrations
austria,2009-07-26,demonstrations
austria,2009-08-01,other protest
austria,2009-08-03,violent protest
austria,2009-08-03,violent protest
austria,2009-08-06,violent protest
austria,2009-08-07,other protest
austria,2009-09-01,demonstrations
austria,2009-09-12,strikes
austria,2009-09-12,other protest
austria,2009-09-21,demonstrations
austria,2009-10-01,"confrontations, blockades"
austria,2009-10-01,demonstrations
austria,2009-10-01,"confrontations, blockades"
austria,2009-10-26,"confrontations, blockades"
austria,2009-10-28,demonstrations
austria,2009-10-28,other protest
austria,2009-10-28,other protest
austria,2009-10-28,other protest
austria,2009-10-28,other protest
austria,2009-10-28,"confrontations, blockades"
austria,2009-10-28,"confrontations, blockades"
austria,2009-10-28,"confrontations, blockades"
austria,2009-10-28,demonstrations
austria,2009-10-28,"confrontations, blockades"
austria,2009-10-28,demonstrations
austria,2009-11-01,demonstrations
austria,2010-01-01,other protest
austria,2010-01-13,demonstrations
austria,2010-01-14,demonstrations
austria,2010-01-14,other protest
austria,2010-01-14,demonstrations
austria,2010-01-21,demonstrations
austria,2010-02-21,strikes
austria,2010-03-08,demonstrations
austria,2010-03-25,demonstrations
austria,2010-03-25,"petitions, symbolic actions"
austria,2010-04-14,"confrontations, blockades"
austria,2010-04-22,other protest
austria,2010-04-23,demonstrations
austria,2010-04-28,"confrontations, blockades"
austria,2010-05-04,"confrontations, blockades"
austria,2010-05-04,demonstrations
austria,2010-06-01,demonstrations
austria,2010-07-01,demonstrations
austria,2010-07-03,demonstrations
austria,2010-07-20,demonstrations
austria,2010-07-20,demonstrations
austria,2010-07-20,other protest
austria,2010-07-21,demonstrations
austria,2010-08-16,violent protest
austria,2010-08-26,other protest
austria,2010-10-01,violent protest
austria,2010-10-14,"petitions, symbolic actions"
austria,2010-10-17,demonstrations
austria,2010-10-18,"petitions, symbolic actions"
austria,2010-10-19,demonstrations
austria,2010-10-19,demonstrations
austria,2010-10-19,demonstrations
austria,2010-10-28,demonstrations
austria,2010-10-28,demonstrations
austria,2010-10-28,demonstrations
austria,2010-10-28,demonstrations
austria,2010-11-15,"confrontations, blockades"
austria,2011-01-01,violent protest
austria,2011-01-16,violent protest
austria,2011-03-12,demonstrations
austria,2011-03-22,demonstrations
austria,2011-04-14,demonstrations
austria,2011-04-25,demonstrations
austria,2011-05-01,demonstrations
austria,2011-05-08,demonstrations
austria,2011-06-03,violent protest
austria,2011-06-18,demonstrations
austria,2011-06-26,demonstrations
austria,2011-07-22,violent protest
austria,2011-09-07,"petitions, symbolic actions"
austria,2011-09-26,demonstrations
austria,2011-10-08,violent protest
austria,2011-10-08,"confrontations, blockades"
austria,2011-10-08,demonstrations
austria,2011-10-11,demonstrations
austria,2011-10-11,"confrontations, blockades"
